,layer_0,layer_1,layer_2,layer_3
head_0,0.13612837,0.08800676,0.10830286,0.148988
head_1,0.1474371,0.053583145,0.14414434,0.1168106
head_2,0.14866182,0.07951529,0.1257143,0.099759735
head_3,0.14787386,0.24282084,0.123896725,0.11115242
head_4,0.11638242,0.19502485,0.13902357,0.10578177
head_5,0.14248948,0.21175428,0.17259052,0.12909651
head_6,0.15412076,0.19971748,0.14220147,0.1122918
head_7,0.12803192,0.16742717,0.117741495,0.13198186
head_8,0.12875076,0.11537687,0.12090545,0.10401281
head_9,0.13920783,0.1505166,0.14384472,0.1200135
head_10,0.110480085,0.13239193,0.15502082,0.10398741
head_11,0.12302721,0.15385748,0.1287259,0.14931673
head_12,0.19375074,0.16093753,0.14340368,0.12311782
head_13,0.1465545,0.108832546,0.14901376,0.14517805
head_14,0.17591982,0.122972585,0.10185666,0.1183858
head_15,0.17603154,0.17315875,0.082859285,0.095477864
head_16,0.14294429,0.11891381,0.11783082,0.13180847
head_17,0.19275892,0.15149815,0.13710989,0.1079757
head_18,0.19667107,0.119726725,0.13135235,0.09421747
head_19,0.109527834,0.13999459,0.16169369,0.14261214
head_20,0.11469542,0.12995364,0.11450289,0.12730034
head_21,0.13511577,0.21236897,0.15095344,0.13071185
head_22,0.1350207,0.07318505,0.097232245,0.13533966
head_23,0.10916978,0.1294537,0.114794,0.10524427
head_24,0.1947365,0.07529816,0.0747628,0.111701384
head_25,0.14058745,0.13243888,0.14116511,0.07885225
head_26,0.17823605,0.12840383,0.1086822,0.17399627
head_27,0.15233283,0.1214783,0.13745514,0.10809496
head_28,0.11962308,0.16073634,0.13656826,0.18442719
head_29,0.11415488,0.1392466,0.19290438,0.15359546
head_30,0.11497386,0.16530229,0.16229615,0.12144708
head_31,0.12771167,0.13351126,0.12853089,0.13707507
